Country,date,confirmed,deaths,people_vaccinated
Malaysia,2020-01-22,,,
Malaysia,2020-01-23,,,
Malaysia,2020-01-24,,,
Malaysia,2020-01-25,4.0,,
Malaysia,2020-01-26,4.0,,
Malaysia,2020-01-27,4.0,,
Malaysia,2020-01-28,4.0,,
Malaysia,2020-01-29,7.0,,
Malaysia,2020-01-30,8.0,,
Malaysia,2020-01-31,8.0,,
Malaysia,2020-02-01,8.0,,
Malaysia,2020-02-02,8.0,,
Malaysia,2020-02-03,8.0,,
Malaysia,2020-02-04,10.0,,
Malaysia,2020-02-05,12.0,,
Malaysia,2020-02-06,14.0,,
Malaysia,2020-02-07,15.0,,
Malaysia,2020-02-08,16.0,,
Malaysia,2020-02-09,17.0,,
Malaysia,2020-02-10,18.0,,
Malaysia,2020-02-11,18.0,,
Malaysia,2020-02-12,18.0,,
Malaysia,2020-02-13,18.0,,
Malaysia,2020-02-14,19.0,,
Malaysia,2020-02-15,22.0,,
Malaysia,2020-02-16,22.0,,
Malaysia,2020-02-17,22.0,,
Malaysia,2020-02-18,22.0,,
Malaysia,2020-02-19,22.0,,
Malaysia,2020-02-20,22.0,,
Malaysia,2020-02-21,22.0,,
Malaysia,2020-02-22,22.0,,
Malaysia,2020-02-23,22.0,,
Malaysia,2020-02-24,22.0,,
Malaysia,2020-02-25,22.0,,
Malaysia,2020-02-26,22.0,,
Malaysia,2020-02-27,23.0,,
Malaysia,2020-02-28,25.0,,
Malaysia,2020-02-29,29.0,,
Malaysia,2020-03-01,29.0,,
Malaysia,2020-03-02,29.0,,
Malaysia,2020-03-03,36.0,,
Malaysia,2020-03-04,50.0,,
Malaysia,2020-03-05,55.0,,
Malaysia,2020-03-06,83.0,,
Malaysia,2020-03-07,93.0,,
Malaysia,2020-03-08,99.0,,
Malaysia,2020-03-09,117.0,,
Malaysia,2020-03-10,129.0,,
Malaysia,2020-03-11,149.0,,
Malaysia,2020-03-12,158.0,,
Malaysia,2020-03-13,197.0,,
Malaysia,2020-03-14,238.0,,
Malaysia,2020-03-15,428.0,,
Malaysia,2020-03-16,553.0,,
Malaysia,2020-03-17,673.0,2.0,
Malaysia,2020-03-18,790.0,2.0,
Malaysia,2020-03-19,900.0,2.0,
Malaysia,2020-03-20,1030.0,3.0,
Malaysia,2020-03-21,1183.0,7.0,
Malaysia,2020-03-22,1306.0,11.0,
Malaysia,2020-03-23,1518.0,16.0,
Malaysia,2020-03-24,1624.0,18.0,
Malaysia,2020-03-25,1796.0,21.0,
Malaysia,2020-03-26,2031.0,26.0,
Malaysia,2020-03-27,2161.0,28.0,
Malaysia,2020-03-28,2320.0,34.0,
Malaysia,2020-03-29,2470.0,39.0,
Malaysia,2020-03-30,2626.0,43.0,
Malaysia,2020-03-31,2766.0,48.0,
Malaysia,2020-04-01,2908.0,50.0,
Malaysia,2020-04-02,3116.0,52.0,
Malaysia,2020-04-03,3333.0,57.0,
Malaysia,2020-04-04,3483.0,60.0,
Malaysia,2020-04-05,3662.0,62.0,
Malaysia,2020-04-06,3793.0,64.0,
Malaysia,2020-04-07,3963.0,65.0,
Malaysia,2020-04-08,4119.0,66.0,
Malaysia,2020-04-09,4228.0,68.0,
Malaysia,2020-04-10,4346.0,71.0,
Malaysia,2020-04-11,4530.0,74.0,
Malaysia,2020-04-12,4683.0,79.0,
Malaysia,2020-04-13,4817.0,80.0,
Malaysia,2020-04-14,4987.0,83.0,
Malaysia,2020-04-15,5072.0,85.0,
Malaysia,2020-04-16,5182.0,87.0,
Malaysia,2020-04-17,5251.0,88.0,
Malaysia,2020-04-18,5305.0,88.0,
Malaysia,2020-04-19,5389.0,89.0,
Malaysia,2020-04-20,5425.0,90.0,
Malaysia,2020-04-21,5482.0,92.0,
Malaysia,2020-04-22,5532.0,94.0,
Malaysia,2020-04-23,5603.0,95.0,
Malaysia,2020-04-24,5691.0,96.0,
Malaysia,2020-04-25,5742.0,98.0,
Malaysia,2020-04-26,5780.0,98.0,
Malaysia,2020-04-27,5820.0,99.0,
Malaysia,2020-04-28,5851.0,100.0,
Malaysia,2020-04-29,5945.0,101.0,
Malaysia,2020-04-30,6002.0,103.0,
Malaysia,2020-05-01,6071.0,103.0,
Malaysia,2020-05-02,6176.0,104.0,
Malaysia,2020-05-03,6298.0,105.0,
Malaysia,2020-05-04,6353.0,105.0,
Malaysia,2020-05-05,6383.0,107.0,
Malaysia,2020-05-06,6428.0,107.0,
Malaysia,2020-05-07,6467.0,108.0,
Malaysia,2020-05-08,6535.0,108.0,
Malaysia,2020-05-09,6589.0,109.0,
Malaysia,2020-05-10,6656.0,110.0,
Malaysia,2020-05-11,6726.0,110.0,
Malaysia,2020-05-12,6742.0,111.0,
Malaysia,2020-05-13,6779.0,113.0,
Malaysia,2020-05-14,6819.0,113.0,
Malaysia,2020-05-15,6855.0,113.0,
Malaysia,2020-05-16,6872.0,113.0,
Malaysia,2020-05-17,6894.0,113.0,
Malaysia,2020-05-18,6941.0,114.0,
Malaysia,2020-05-19,6978.0,114.0,
Malaysia,2020-05-20,7009.0,114.0,
Malaysia,2020-05-21,7059.0,115.0,
Malaysia,2020-05-22,7137.0,115.0,
Malaysia,2020-05-23,7185.0,115.0,
Malaysia,2020-05-24,7245.0,115.0,
Malaysia,2020-05-25,7417.0,115.0,
Malaysia,2020-05-26,7604.0,115.0,
Malaysia,2020-05-27,7619.0,115.0,
Malaysia,2020-05-28,7629.0,115.0,
Malaysia,2020-05-29,7732.0,115.0,
Malaysia,2020-05-30,7762.0,115.0,
Malaysia,2020-05-31,7819.0,115.0,
Malaysia,2020-06-01,7857.0,115.0,
Malaysia,2020-06-02,7877.0,115.0,
Malaysia,2020-06-03,7970.0,115.0,
Malaysia,2020-06-04,8247.0,116.0,
Malaysia,2020-06-05,8266.0,117.0,
Malaysia,2020-06-06,8303.0,117.0,
Malaysia,2020-06-07,8322.0,117.0,
Malaysia,2020-06-08,8329.0,117.0,
Malaysia,2020-06-09,8336.0,117.0,
Malaysia,2020-06-10,8338.0,118.0,
Malaysia,2020-06-11,8369.0,119.0,
Malaysia,2020-06-12,8402.0,121.0,
Malaysia,2020-06-13,8445.0,121.0,
Malaysia,2020-06-14,8453.0,121.0,
Malaysia,2020-06-15,8494.0,121.0,
Malaysia,2020-06-16,8505.0,121.0,
Malaysia,2020-06-17,8515.0,121.0,
Malaysia,2020-06-18,8529.0,121.0,
Malaysia,2020-06-19,8535.0,121.0,
Malaysia,2020-06-20,8556.0,121.0,
Malaysia,2020-06-21,8572.0,121.0,
Malaysia,2020-06-22,8587.0,121.0,
Malaysia,2020-06-23,8590.0,121.0,
Malaysia,2020-06-24,8596.0,121.0,
Malaysia,2020-06-25,8600.0,121.0,
Malaysia,2020-06-26,8606.0,121.0,
Malaysia,2020-06-27,8616.0,121.0,
Malaysia,2020-06-28,8634.0,121.0,
Malaysia,2020-06-29,8637.0,121.0,
Malaysia,2020-06-30,8639.0,121.0,
Malaysia,2020-07-01,8640.0,121.0,
Malaysia,2020-07-02,8643.0,121.0,
Malaysia,2020-07-03,8648.0,121.0,
Malaysia,2020-07-04,8658.0,121.0,
Malaysia,2020-07-05,8663.0,121.0,
Malaysia,2020-07-06,8668.0,121.0,
Malaysia,2020-07-07,8674.0,121.0,
